#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
calcium_sulfate_solution                          (nuclearcraft:fluid_calcium_sulfate_solution)                                    = Calcium Sulfate Solution
sodium_fluoride_solution                          (nuclearcraft:fluid_sodium_fluoride_solution)                                    = Sodium Fluoride Solution
potassium_fluoride_solution                       (nuclearcraft:fluid_potassium_fluoride_solution)                                 = Potassium Fluoride Solution
sodium_hydroxide_solution                         (nuclearcraft:fluid_sodium_hydroxide_solution)                                   = Sodium Hydroxide Solution
potassium_hydroxide_solution                      (nuclearcraft:fluid_potassium_hydroxide_solution)                                = Potassium Hydroxide Solution
borax_solution                                    (nuclearcraft:fluid_borax_solution)                                              = Borax Solution
corium                                            (nuclearcraft:fluid_corium)                                                      = Corium
chocolate_liquor                                  (nuclearcraft:fluid_chocolate_liquor)                                            = Chocolate Liquor
cocoa_butter                                      (nuclearcraft:fluid_cocoa_butter)                                                = Cocoa Butter
unsweetened_chocolate                             (nuclearcraft:fluid_unsweetened_chocolate)                                       = Molten Unsweetened Chocolate
dark_chocolate                                    (nuclearcraft:fluid_dark_chocolate)                                              = Molten Dark Chocolate
milk_chocolate                                    (nuclearcraft:fluid_milk_chocolate)                                              = Molten Milk Chocolate
sugar                                             (nuclearcraft:fluid_sugar)                                                       = Molten Sugar
gelatin                                           (nuclearcraft:fluid_gelatin)                                                     = Molten Gelatin
hydrated_gelatin                                  (nuclearcraft:fluid_hydrated_gelatin)                                            = Hydrated Gelatin
marshmallow                                       (nuclearcraft:fluid_marshmallow)                                                 = Liquid Marshmallow
lif                                               (nuclearcraft:fluid_lif)                                                         = Molten Lithium Fluoride
bef2                                              (nuclearcraft:fluid_bef2)                                                        = Molten Beryllium Fluoride
flibe                                             (nuclearcraft:fluid_flibe)                                                       = Molten FLiBe Salt Mixture
naoh                                              (nuclearcraft:fluid_naoh)                                                        = Molten Sodium Hydroxide
koh                                               (nuclearcraft:fluid_koh)                                                         = Molten Potassium Hydroxide
high_pressure_steam                               (nuclearcraft:fluid_high_pressure_steam)                                         = High Pressure Steam
exhaust_steam                                     (nuclearcraft:fluid_exhaust_steam)                                               = Exhaust Steam
low_pressure_steam                                (nuclearcraft:fluid_low_pressure_steam)                                          = Low Pressure Steam
low_quality_steam                                 (nuclearcraft:fluid_low_quality_steam)                                           = Low Quality Steam
preheated_water                                   (nuclearcraft:fluid_preheated_water)                                             = Preheated Water
condensate_water                                  (nuclearcraft:fluid_condensate_water)                                            = Condensate Water
sodium                                            (nuclearcraft:fluid_sodium)                                                      = Molten Sodium
potassium                                         (nuclearcraft:fluid_potassium)                                                   = Molten Potassium
nak                                               (nuclearcraft:fluid_nak)                                                         = Eutectic NaK Alloy
nak_hot                                           (nuclearcraft:fluid_nak_hot)                                                     = Hot Eutectic NaK Alloy
bas                                               (nuclearcraft:fluid_bas)                                                         = Molten Boron Arsenide
sic_vapor                                         (nuclearcraft:fluid_sic_vapor)                                                   = Silicon Carbide Vapor
alugentum                                         (nuclearcraft:fluid_alugentum)                                                   = Molten Alugentum
alumina                                           (nuclearcraft:fluid_alumina)                                                     = Molten Alumina
thorium                                           (tconstruct:molten_thorium)                                                      = Molten Thorium
thorium_fluoride                                  ([no block])                                                                     = Molten Thorium Fluoride
thorium_fluoride_flibe                            ([no block])                                                                     = Molten FLiBe Salt Solution of Thorium Fluoride
uranium_fluoride                                  ([no block])                                                                     = Molten Uranium Fluoride
uranium_fluoride_flibe                            ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium Fluoride
plutonium                                         ([no block])                                                                     = Molten Plutonium
plutonium_fluoride                                ([no block])                                                                     = Molten Plutonium Fluoride
plutonium_fluoride_flibe                          ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium Fluoride
thorium_230                                       ([no block])                                                                     = Molten Thorium-230
thorium_230_fluoride                              ([no block])                                                                     = Molten Thorium-230 Fluoride
thorium_230_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Thorium-230 Fluoride
uranium_233                                       ([no block])                                                                     = Molten Uranium-233
uranium_233_fluoride                              ([no block])                                                                     = Molten Uranium-233 Fluoride
uranium_233_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-233 Fluoride
uranium_235                                       ([no block])                                                                     = Molten Uranium-235
uranium_235_fluoride                              ([no block])                                                                     = Molten Uranium-235 Fluoride
uranium_235_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-235 Fluoride
uranium_238                                       ([no block])                                                                     = Molten Uranium-238
uranium_238_fluoride                              ([no block])                                                                     = Molten Uranium-238 Fluoride
uranium_238_fluoride_flibe                        ([no block])                                                                     = Molten FLiBe Salt Solution of Uranium-238 Fluoride
neptunium_236                                     ([no block])                                                                     = Molten Neptunium-236
neptunium_236_fluoride                            ([no block])                                                                     = Molten Neptunium-236 Fluoride
neptunium_236_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Neptunium-236 Fluoride
neptunium_237                                     ([no block])                                                                     = Molten Neptunium-237
neptunium_237_fluoride                            ([no block])                                                                     = Molten Neptunium-237 Fluoride
neptunium_237_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Neptunium-237 
plutonium_238                                     ([no block])                                                                     = Molten Plutonium-238
plutonium_238_fluoride                            ([no block])                                                                     = Molten Plutonium-238 Fluoride
plutonium_238_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-238 Fluoride
plutonium_239                                     ([no block])                                                                     = Molten Plutonium-239
plutonium_239_fluoride                            ([no block])                                                                     = Molten Plutonium-239 Fluoride
plutonium_239_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-239 Fluoride
plutonium_241                                     ([no block])                                                                     = Molten Plutonium-241
plutonium_241_fluoride                            ([no block])                                                                     = Molten Plutonium-241 Fluoride
plutonium_241_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-241 Fluoride
plutonium_242                                     ([no block])                                                                     = Molten Plutonium-242
plutonium_242_fluoride                            ([no block])                                                                     = Molten Plutonium-242 Fluoride
plutonium_242_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Plutonium-242 Fluoride
americium_241                                     ([no block])                                                                     = Molten Americium-241
americium_241_fluoride                            ([no block])                                                                     = Molten Americium-241 Fluoride
americium_241_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-241 Fluoride
americium_242                                     ([no block])                                                                     = Molten Americium-242
americium_242_fluoride                            ([no block])                                                                     = Molten Americium-242 Fluoride
americium_242_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-242 Fluoride
americium_243                                     ([no block])                                                                     = Molten Americium-243
americium_243_fluoride                            ([no block])                                                                     = Molten Americium-243 Fluoride
americium_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Americium-243 Fluoride
curium_243                                        ([no block])                                                                     = Molten Curium-243
curium_243_fluoride                               ([no block])                                                                     = Molten Curium-243 Fluoride
curium_243_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-243 Fluoride
curium_245                                        ([no block])                                                                     = Molten Curium-245
curium_245_fluoride                               ([no block])                                                                     = Molten Curium-245 Fluoride
curium_245_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-245 Fluoride
curium_246                                        ([no block])                                                                     = Molten Curium-246
curium_246_fluoride                               ([no block])                                                                     = Molten Curium-246 Fluoride
curium_246_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-246 Fluoride
curium_247                                        ([no block])                                                                     = Molten Curium-247
curium_247_fluoride                               ([no block])                                                                     = Molten Curium-247 Fluoride
curium_247_fluoride_flibe                         ([no block])                                                                     = Molten FLiBe Salt Solution of Curium-247 Fluoride
berkelium_247                                     ([no block])                                                                     = Molten Berkelium-247
berkelium_247_fluoride                            ([no block])                                                                     = Molten Berkelium-247 Fluoride
berkelium_247_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Berkelium-247 Fluoride
berkelium_248                                     ([no block])                                                                     = Molten Berkelium-248
berkelium_248_fluoride                            ([no block])                                                                     = Molten Berkelium-248 Fluoride
berkelium_248_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of Berkelium-248 Fluoride
californium_249                                   ([no block])                                                                     = Molten Californium-249
californium_249_fluoride                          ([no block])                                                                     = Molten Californium-249 Fluoride
californium_249_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-249 Fluoride
californium_250                                   ([no block])                                                                     = Molten Californium-250
californium_250_fluoride                          ([no block])                                                                     = Molten Californium-250 Fluoride
californium_250_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-250 Fluoride
californium_251                                   ([no block])                                                                     = Molten Californium-251
californium_251_fluoride                          ([no block])                                                                     = Molten Californium-251 Fluoride
californium_251_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-251 Fluoride
californium_252                                   ([no block])                                                                     = Molten Californium-252
californium_252_fluoride                          ([no block])                                                                     = Molten Californium-252 Fluoride
californium_252_fluoride_flibe                    ([no block])                                                                     = Molten FLiBe Salt Solution of Californium-252 Fluoride
fuel_tbu                                          ([no block])                                                                     = Molten TBU Fuel
fuel_tbu_fluoride                                 ([no block])                                                                     = Molten TBU Fluoride Fuel
fuel_tbu_fluoride_flibe                           ([no block])                                                                     = Molten FLiBe Salt Solution of TBU Fluoride Fuel
fuel_leu_233                                      ([no block])                                                                     = Molten LEU-233 Fuel
fuel_leu_233_fluoride                             ([no block])                                                                     = Molten LEU-233 Fluoride Fuel
fuel_leu_233_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEU-233 Fluoride Fuel
fuel_heu_233                                      ([no block])                                                                     = Molten HEU-233 Fuel
fuel_heu_233_fluoride                             ([no block])                                                                     = Molten HEU-233 Fluoride Fuel
fuel_heu_233_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEU-233 Fluoride Fuel
fuel_leu_235                                      ([no block])                                                                     = Molten LEU-235 Fuel
fuel_leu_235_fluoride                             ([no block])                                                                     = Molten LEU-235 Fluoride Fuel
fuel_leu_235_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEU-235 Fluoride Fuel
fuel_heu_235                                      ([no block])                                                                     = Molten HEU-235 Fuel
fuel_heu_235_fluoride                             ([no block])                                                                     = Molten HEU-235 Fluoride Fuel
fuel_heu_235_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEU-235 Fluoride Fuel
fuel_len_236                                      ([no block])                                                                     = Molten LEN-236 Fuel
fuel_len_236_fluoride                             ([no block])                                                                     = Molten LEN-236 Fluoride Fuel
fuel_len_236_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEN-236 Fluoride Fuel
fuel_hen_236                                      ([no block])                                                                     = Molten HEN-236 Fuel
fuel_hen_236_fluoride                             ([no block])                                                                     = Molten HEN-236 Fluoride Fuel
fuel_hen_236_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEN-236 Fluoride Fuel
fuel_lep_239                                      ([no block])                                                                     = Molten LEP-239 Fuel
fuel_lep_239_fluoride                             ([no block])                                                                     = Molten LEP-239 Fluoride Fuel
fuel_lep_239_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEP-239 Fluoride Fuel
fuel_hep_239                                      ([no block])                                                                     = Molten HEP-239 Fuel
fuel_hep_239_fluoride                             ([no block])                                                                     = Molten HEP-239 Fluoride Fuel
fuel_hep_239_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEP-239 Fluoride Fuel
fuel_lep_241                                      ([no block])                                                                     = Molten LEP-241 Fuel
fuel_lep_241_fluoride                             ([no block])                                                                     = Molten LEP-241 Fluoride Fuel
fuel_lep_241_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEP-241 Fluoride Fuel
fuel_hep_241                                      ([no block])                                                                     = Molten HEP-241 Fuel
fuel_hep_241_fluoride                             ([no block])                                                                     = Molten HEP-241 Fluoride Fuel
fuel_hep_241_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEP-241 Fluoride Fuel
fuel_lea_242                                      ([no block])                                                                     = Molten LEA-242 Fuel
fuel_lea_242_fluoride                             ([no block])                                                                     = Molten LEA-242 Fluoride Fuel
fuel_lea_242_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of LEA-242 Fluoride Fuel
fuel_hea_242                                      ([no block])                                                                     = Molten HEA-242 Fuel
fuel_hea_242_fluoride                             ([no block])                                                                     = Molten HEA-242 Fluoride Fuel
fuel_hea_242_fluoride_flibe                       ([no block])                                                                     = Molten FLiBe Salt Solution of HEA-242 Fluoride Fuel
fuel_lecm_243                                     ([no block])                                                                     = Molten LECm-243 Fuel
fuel_lecm_243_fluoride                            ([no block])                                                                     = Molten LECm-243 Fluoride Fuel
fuel_lecm_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECm-243 Fluoride Fuel
fuel_hecm_243                                     ([no block])                                                                     = Molten HECm-243 Fuel
fuel_hecm_243_fluoride                            ([no block])                                                                     = Molten HECm-243 Fluoride Fuel
fuel_hecm_243_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECm-243 Fluoride Fuel
fuel_lecm_245                                     ([no block])                                                                     = Molten LECm-245 Fuel
fuel_lecm_245_fluoride                            ([no block])                                                                     = Molten LECm-245 Fluoride Fuel
fuel_lecm_245_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of LECm-245 Fluoride Fuel
fuel_hecm_245                                     ([no block])                                                                     = Molten HECm-245 Fuel
fuel_hecm_245_fluoride                            ([no block])                                                                     = Molten HECm-245 Fluoride Fuel
fuel_hecm_245_fluoride_flibe                      ([no block])                                                                     = Molten FLiBe Salt Solution of HECm-245 Fluoride Fuel
